ticker,date_detected,detection_price,change_pct,business_days_tracked,status,current_price,total_change_pct,last_updated
AMAT,2026-01-05,284.32000732421875,5.75,10,completed,319.0799865722656,12.23,2026-01-15
TECH,2026-01-05,63.02999877929688,5.67,10,completed,69.95999908447266,10.99,2026-01-15
XYZ,2026-01-05,68.44000244140625,5.05,10,completed,64.91999816894531,-5.14,2026-01-15
CVNA,2026-01-05,430.1700134277344,7.48,10,completed,460.8800048828125,7.14,2026-01-15
CNC,2026-01-05,44.68999862670898,6.97,10,completed,47.27000045776367,5.77,2026-01-15
CVX,2026-01-05,163.889892578125,5.13,10,completed,166.16000366210938,1.39,2026-01-15
COIN,2026-01-05,254.9199981689453,7.77,10,completed,239.27999877929688,-6.14,2026-01-15
EMR,2026-01-05,142.86000061035156,5.18,10,completed,148.02000427246094,3.61,2026-01-15
FFIV,2026-01-05,272.0599975585937,6.01,10,completed,273.989990234375,0.71,2026-01-15
GNRC,2026-01-05,148.72000122070312,5.4,10,completed,161.42999267578125,8.55,2026-01-15
HAL,2026-01-05,31.940000534057617,7.91,10,completed,32.779998779296875,2.63,2026-01-15
IBKR,2026-01-05,71.56999969482422,6.46,10,completed,73.68000030517578,2.95,2026-01-15
JBL,2026-01-05,223.4199981689453,-7.06,10,completed,253.17999267578125,13.32,2026-01-15
KLAC,2026-01-05,1352.449951171875,6.12,10,completed,1544.9599609375,14.23,2026-01-15
LRCX,2026-01-05,194.759994506836,5.24,10,completed,217.47000122070312,11.66,2026-01-15
LDOS,2026-01-05,195.5500030517578,6.58,10,completed,193.3600006103516,-1.12,2026-01-15
MPC,2026-01-05,174.89999389648438,5.91,10,completed,177.58999633789062,1.54,2026-01-15
MCO,2026-01-05,526.9000244140625,5.6,10,completed,539.6099853515625,2.41,2026-01-15
PSX,2026-01-05,139.97999572753906,7.21,10,completed,140.00999450683594,0.02,2026-01-15
HOOD,2026-01-05,123.23999786376952,6.97,10,completed,110.3499984741211,-10.46,2026-01-15
SLB,2026-01-05,43.84000015258789,9.05,10,completed,46.56999969482422,6.23,2026-01-15
TER,2026-01-05,219.5,5.75,10,completed,227.6999969482422,3.74,2026-01-15
TTD,2026-01-05,40.11000061035156,6.45,10,completed,36.22999954223633,-9.67,2026-01-15
URI,2026-01-05,887.510009765625,5.02,10,completed,926.5700073242188,4.4,2026-01-15
VLO,2026-01-05,180.6100006103516,9.26,10,completed,184.5800018310547,2.2,2026-01-15
AMAT,2026-01-05,284.32000732421875,5.75,10,completed,327.010009765625,15.01,2026-01-16
TECH,2026-01-05,63.02999877929688,5.67,10,completed,68.66999816894531,8.95,2026-01-16
XYZ,2026-01-05,68.44999694824219,5.07,10,completed,65.94999694824219,-3.65,2026-01-16
CVNA,2026-01-05,430.05999755859375,7.45,10,completed,443.1199951171875,3.04,2026-01-16
CNC,2026-01-05,44.68000030517578,6.94,10,completed,45.75,2.39,2026-01-16
CVX,2026-01-05,163.85000610351562,5.1,10,completed,166.25999450683594,1.47,2026-01-16
COIN,2026-01-05,254.9199981689453,7.77,10,completed,241.1499938964844,-5.4,2026-01-16
EMR,2026-01-05,142.85000610351562,5.18,10,completed,149.4600067138672,4.63,2026-01-16
FFIV,2026-01-05,272.0599975585937,6.01,10,completed,268.2200012207031,-1.41,2026-01-16
GNRC,2026-01-05,148.67999267578125,5.37,10,completed,160.85000610351562,8.19,2026-01-16
HAL,2026-01-05,31.920000076293945,7.84,10,completed,32.56999969482422,2.04,2026-01-16
IBKR,2026-01-05,71.56999969482422,6.46,10,completed,73.36000061035156,2.5,2026-01-16
JBL,2026-01-05,223.44000244140625,-7.05,10,completed,251.2899932861328,12.46,2026-01-16
KLAC,2026-01-05,1352.449951171875,6.12,10,completed,1567.8199462890625,15.92,2026-01-16
LRCX,2026-01-05,194.759994506836,5.24,10,completed,222.9600067138672,14.48,2026-01-16
LDOS,2026-01-05,195.4900054931641,6.55,10,completed,194.6999969482422,-0.4,2026-01-16
MPC,2026-01-05,174.94000244140625,5.93,10,completed,175.6300048828125,0.39,2026-01-16
MCO,2026-01-05,526.8800048828125,5.59,10,completed,538.9199829101562,2.29,2026-01-16
PSX,2026-01-05,139.97999572753906,7.21,10,completed,138.27999877929688,-1.21,2026-01-16
HOOD,2026-01-05,123.23999786376952,6.97,10,completed,108.73999786376952,-11.77,2026-01-16
SLB,2026-01-05,43.79999923706055,8.96,10,completed,46.72999954223633,6.69,2026-01-16
TER,2026-01-05,219.5,5.75,10,completed,228.1450042724609,3.94,2026-01-16
TTD,2026-01-05,40.11000061035156,6.45,10,completed,35.47999954223633,-11.54,2026-01-16
VLO,2026-01-05,180.57000732421875,9.23,10,completed,183.4600067138672,1.6,2026-01-16
